"x","y","text","color"
"2.1484844533410468","0.660865931016522","x: 2.15<br>y: 0.66<br>z: 1","1.0"
"2.1484844533410468","1.0934524787261795","x: 2.15<br>y: 1.09<br>z: 1","1.0"
"2.296661559145491","-0.20430716440279206","x: 2.30<br>y: -0.20<br>z: 2","2.0"
"2.296661559145491","0.22827938330686504","x: 2.30<br>y: 0.23<br>z: 1","1.0"
"2.296661559145491","0.660865931016522","x: 2.30<br>y: 0.66<br>z: 2","2.0"
"2.296661559145491","1.5260390264358363","x: 2.30<br>y: 1.53<br>z: 1","1.0"
"2.4448386649499345","-0.20430716440279206","x: 2.44<br>y: -0.20<br>z: 1","1.0"
"2.593015770754379","0.22827938330686504","x: 2.59<br>y: 0.23<br>z: 1","1.0"
"-1.0373233214544928","3.905265038838951","x: -1.04<br>y: 3.91<br>z: 1","1.0"
"-0.7409691098456054","2.1749188480003223","x: -0.74<br>y: 2.17<br>z: 2","2.0"
"-0.7409691098456054","2.607505395709979","x: -0.74<br>y: 2.61<br>z: 1","1.0"
"-0.7409691098456054","3.0400919434196374","x: -0.74<br>y: 3.04<br>z: 1","1.0"
"-0.7409691098456054","3.4726784911292934","x: -0.74<br>y: 3.47<br>z: 7","7.0"
"-0.7409691098456054","3.905265038838951","x: -0.74<br>y: 3.91<br>z: 1","1.0"
"-0.7409691098456054","4.3378515865486085","x: -0.74<br>y: 4.34<br>z: 1","1.0"
"-0.5927920040411615","2.607505395709979","x: -0.59<br>y: 2.61<br>z: 2","2.0"
"-0.5927920040411615","3.0400919434196374","x: -0.59<br>y: 3.04<br>z: 2","2.0"
"-0.5927920040411615","3.4726784911292934","x: -0.59<br>y: 3.47<br>z: 1","1.0"
"-0.5927920040411615","3.905265038838951","x: -0.59<br>y: 3.91<br>z: 1","1.0"
"-0.44461489823671796","1.7423323002906652","x: -0.44<br>y: 1.74<br>z: 1","1.0"
"-0.44461489823671796","2.1749188480003223","x: -0.44<br>y: 2.17<br>z: 2","2.0"
"-0.44461489823671796","2.607505395709979","x: -0.44<br>y: 2.61<br>z: 6","6.0"
"-0.44461489823671796","3.0400919434196374","x: -0.44<br>y: 3.04<br>z: 10","10.0"
"-0.44461489823671796","3.4726784911292934","x: -0.44<br>y: 3.47<br>z: 4","4.0"
"-0.44461489823671796","4.3378515865486085","x: -0.44<br>y: 4.34<br>z: 1","1.0"
"-0.29643779243227414","1.7423323002906652","x: -0.30<br>y: 1.74<br>z: 5","5.0"
"-0.29643779243227414","2.1749188480003223","x: -0.30<br>y: 2.17<br>z: 6","6.0"
"-0.29643779243227414","2.607505395709979","x: -0.30<br>y: 2.61<br>z: 15","15.0"
